D,H,Beta,J,CT,CP,CQ,RPS
12,5.5,0.458333333,0.069269421,0.104844786,0.046507184,0.007405706,115.1090332
12,5.5,0.458333333,0.052629776,0.098783259,0.050866093,0.008119416,101.606193
12,5.5,0.458333333,0.051016691,0.097705067,0.044169344,0.007033543,104.8188558
12,5.5,0.458333333,0.051131092,0.099971456,0.04445608,0.007079194,104.5843343
12,5.5,0.458333333,0.051286516,0.099527082,0.044880819,0.007146672,104.267391
12,5.5,0.458333333,0.051216645,0.099570316,0.044641859,0.007108654,104.4096354
12,5.5,0.458333333,0.051427283,0.101986108,0.045600895,0.007261236,103.9819906
12,5.5,0.458333333,0.051336372,0.098975198,0.044829177,0.007138439,104.1661296
12,5.5,0.458333333,0.051497468,0.102110211,0.04571386,0.007279601,103.8402751
12,5.5,0.458333333,0.051414816,0.100938626,0.045255044,0.007206254,104.0072022
12,5.5,0.458333333,0.051538327,0.102667984,0.04571728,0.007279801,103.7579509
12,5.5,0.458333333,0.051595707,0.101469689,0.045983824,0.007322278,103.6425619
12,5.5,0.458333333,0.051438096,0.102296679,0.04512892,0.007185907,103.9601318
12,5.5,0.458333333,0.051477131,0.100852768,0.045242473,0.007204294,103.8812988
12,5.5,0.458333333,0.051474123,0.100984035,0.045237988,0.007203567,103.8873698
12,5.5,0.458333333,0.051792766,0.103754446,0.046474417,0.007399887,103.2482259
12,5.5,0.458333333,0.05153551,0.099684228,0.045416992,0.007232201,103.7636231
12,5.5,0.458333333,0.051697709,0.102002319,0.046206364,0.007357436,103.4380697
12,5.5,0.458333333,0.05153359,0.100484204,0.04514747,0.007189558,103.7674886
12,5.5,0.458333333,0.051679876,0.101692608,0.045863904,0.007303381,103.473763
12,5.5,0.458333333,0.051467756,0.099790326,0.045100658,0.007181635,103.9002197
12,5.5,0.458333333,0.051675141,0.101847001,0.045764701,0.00728712,103.4832438
12,5.5,0.458333333,0.051778947,0.101792411,0.046297471,0.007372548,103.2757813
12,5.5,0.458333333,0.051820782,0.103131764,0.046758408,0.007445515,103.1924072
12,5.5,0.458333333,0.051937782,0.103167713,0.046754288,0.007444837,102.9599447
12,5.5,0.458333333,0.051856389,0.102699949,0.046682905,0.00743331,103.1215495
12,5.5,0.458333333,0.05206357,0.10446997,0.047479625,0.007560625,102.7111898
12,5.5,0.458333333,0.051816589,0.101479961,0.046144254,0.007348599,103.2007568
12,5.5,0.458333333,0.051738602,0.101169163,0.045654698,0.00726994,103.3563151
12,5.5,0.458333333,0.051570536,0.100083572,0.04494733,0.007157476,103.6931478
12,5.5,0.458333333,0.051700397,0.101041666,0.045612777,0.007262311,103.4326904
12,5.5,0.458333333,0.04681937,0.100393518,0.050038579,0.007972232,114.2157878
